organ,code,busdate,outofstockrate,turnoverdays,new_storage
1016,6920907808117,2022-06-04,0.03571428571428571,9.01803607214429,3.12
1016,6920907808117,2022-06-05,0.03571428571428571,8.016032064128256,2.9939999999999998
1016,6920907808117,2022-06-06,0.03571428571428571,11.940298507462686,2.9939999999999998
1016,6920907808117,2022-06-07,0.03571428571428571,7.4719800747198,2.0100000000000002
1016,6920907808117,2022-06-08,0.03571428571428571,15.21438450899032,2.4090000000000003
1016,6920907808117,2022-06-09,0.03571428571428571,16.897081413210444,2.169
1016,6920907808117,2022-06-10,0.03571428571428571,16.897081413210444,1.953
1016,6920907808117,2022-06-11,0.03571428571428571,16.897081413210444,1.953
1016,6920907808117,2022-06-12,0.03571428571428571,11.450381679389313,1.953
1016,6920907808537,2022-05-08,0.07142857142857142,7.907979870596693,8.119952044257394
1016,6920907808537,2022-05-18,0.03571428571428571,18.289085545722713,4.7075
1016,6920907808537,2022-05-20,0.03571428571428571,20.36659877800407,3.815
1016,6920907808537,2022-05-21,0.03571428571428571,12.461059190031152,3.6825
1016,6920907808537,2022-05-22,0.03571428571428571,10.329562223315298,4.8149999999999995
1016,6920907808537,2022-05-23,0.03571428571428571,11.475409836065573,5.0825
1016,6920907808537,2022-05-24,0.03571428571428571,21.85792349726776,4.575
1016,6920907808537,2022-05-25,0.03571428571428571,20.214030915576696,4.1175
1016,6920907808537,2022-05-26,0.03571428571428571,20.44609665427509,4.205
1016,6920907808537,2022-05-27,0.03571428571428571,20.605280103026402,4.035
1016,6920907808537,2022-05-28,0.03571428571428571,13.013013013013014,3.8825
1016,6920907808537,2022-05-30,0.03571428571428571,22.12855637513172,4.995
1016,6920907808537,2022-05-31,0.03571428571428571,15.597920277296362,4.745
1016,6920907808537,2022-06-01,0.03571428571428571,9.732360097323602,5.77
1016,6920907808537,2022-06-02,0.03571428571428571,10.8149864812669,7.192499999999999
1016,6920907808537,2022-06-03,0.03571428571428571,8.791208791208792,6.4725
1016,6920907808537,2022-06-04,0.03571428571428571,7.616974972796518,9.555
1016,6920907808537,2022-06-05,0.03571428571428571,5.900728913571677,9.6495
1016,6920907808537,2022-06-06,0.03571428571428571,7.986309184255562,12.095330575066928
1016,6920907808537,2022-06-07,0.03571428571428571,19.16932907348243,12.75460415396272
